 53212  jet 1                  ;-SHOT #- IDENTIFICATION
 UNKNOWN                       ;-SHOT DATE-
 0                             ;-NUMBER OF ASSOCIATED SCALAR QUANTITIES-
                     SECONDS   ;-INDEPENDENT VARIABLE LABEL-
 AMIN                m         ;-DEPENDENT VARIABLE LABEL-
 0                             ;-STATUS FLAG
        521                    ;-# OF PTS-  X, F(X) DATA FOLLOW:
  9.300317E-01 9.306056E-01 9.311574E-01 9.317086E-01 9.322600E-01
;----END-OF-DATA-----------------COMMENTS:----------
********************************************************************************
********************************************************************************
 53212  jet 1                  ;-SHOT #- IDENTIFICATION
 UNKNOWN                       ;-SHOT DATE-
 0                             ;-NUMBER OF ASSOCIATED SCALAR QUANTITIES-
                     SECONDS   ;-INDEPENDENT VARIABLE LABEL-
 BT                  Tesla     ;-DEPENDENT VARIABLE LABEL-
 0                             ;-STATUS FLAG
        521                    ;-# OF PTS-  X, F(X) DATA FOLLOW:
  1.400100E+01 1.402500E+01 1.405000E+01 1.407500E+01 1.410000E+01 1.412500E+01
  1.415000E+01 1.417500E+01 1.420000E+01 1.422500E+01 1.425000E+01 1.427500E+01
  1.430000E+01 1.432500E+01 1.435000E+01 1.437500E+01 1.440000E+01 1.442500E+01
  1.445000E+01 1.447500E+01 1.450000E+01 1.452500E+01 1.455000E+01 1.457500E+01
  1.460000E+01 1.462500E+01 1.465000E+01 1.467500E+01 1.470000E+01 1.472500E+01
  1.475000E+01 1.477500E+01 1.480000E+01 1.482500E+01 1.485000E+01 1.487500E+01
  1.490000E+01 1.492500E+01 1.495000E+01 1.497500E+01 1.500000E+01 1.502500E+01
  1.505000E+01 1.507500E+01 1.510000E+01 1.512500E+01 1.515000E+01 1.517500E+01
  1.520000E+01 1.522500E+01 1.525000E+01 1.527500E+01 1.530000E+01 1.532500E+01
  1.535000E+01 1.537500E+01 1.540000E+01 1.542500E+01 1.545000E+01 1.547500E+01
  1.550000E+01 1.552500E+01 1.555000E+01 1.557500E+01 1.560000E+01 1.562500E+01
  1.565000E+01 1.567500E+01 1.570000E+01 1.572500E+01 1.575000E+01 1.577500E+01
  1.580000E+01 1.582500E+01 1.585000E+01 1.587500E+01 1.589970E+01 1.592530E+01
  1.594950E+01 1.597450E+01 1.599950E+01 1.602590E+01 1.605100E+01 1.607600E+01
  1.610100E+01 1.612600E+01 1.615100E+01 1.617600E+01 1.620100E+01 1.622600E+01
  1.625100E+01 1.627600E+01 1.630100E+01 1.632600E+01 1.635100E+01 1.637600E+01
  1.640100E+01 1.642600E+01 1.645100E+01 1.647600E+01 1.650100E+01 1.652600E+01
  1.655100E+01 1.657600E+01 1.660100E+01 1.662600E+01 1.665100E+01 1.667600E+01
  1.670100E+01 1.672600E+01 1.675100E+01 1.677600E+01 1.680100E+01 1.682600E+01
  1.685100E+01 1.687600E+01 1.690100E+01 1.692600E+01 1.695100E+01 1.697600E+01
  1.700100E+01 1.702600E+01 1.705100E+01 1.707600E+01 1.710100E+01 1.712600E+01
  1.715100E+01 1.717600E+01 1.720100E+01 1.722600E+01 1.725100E+01 1.727600E+01
  1.730100E+01 1.732600E+01 1.735100E+01 1.737600E+01 1.740100E+01 1.742600E+01
  1.745100E+01 1.747600E+01 1.750100E+01 1.752600E+01 1.755100E+01 1.757600E+01
  1.760100E+01 1.762600E+01 1.765100E+01 1.767600E+01 1.770100E+01 1.772600E+01
  1.775100E+01 1.777600E+01 1.780100E+01 1.782600E+01 1.785100E+01 1.787600E+01
  1.790100E+01 1.792600E+01 1.795100E+01 1.797600E+01 1.800100E+01 1.802600E+01
  1.805100E+01 1.807600E+01 1.810100E+01 1.812600E+01 1.815100E+01 1.817600E+01
  1.820100E+01 1.822600E+01 1.825100E+01 1.827600E+01 1.830100E+01 1.832600E+01
  1.835100E+01 1.837600E+01 1.840100E+01 1.842600E+01 1.845100E+01 1.847600E+01
  1.850100E+01 1.852600E+01 1.855100E+01 1.857600E+01 1.860100E+01 1.862600E+01
  1.865100E+01 1.867600E+01 1.870100E+01 1.872600E+01 1.875100E+01 1.877600E+01
  1.880100E+01 1.882600E+01 1.885100E+01 1.887600E+01 1.890100E+01 1.892600E+01
  1.895100E+01 1.897600E+01 1.900000E+01 1.902500E+01 1.905000E+01 1.907500E+01
  1.910000E+01 1.912500E+01 1.915000E+01 1.917500E+01 1.920000E+01 1.922500E+01
  1.925000E+01 1.927500E+01 1.930000E+01 1.932500E+01 1.935000E+01 1.937500E+01
  1.940000E+01 1.942500E+01 1.945000E+01 1.947500E+01 1.950000E+01 1.952500E+01
  1.955000E+01 1.957500E+01 1.960000E+01 1.962500E+01 1.965000E+01 1.967500E+01
  1.970000E+01 1.972500E+01 1.975000E+01 1.977500E+01 1.980000E+01 1.982500E+01
  1.985000E+01 1.987500E+01 1.990000E+01 1.992500E+01 1.995000E+01 1.997500E+01
  2.000000E+01 2.002500E+01 2.005000E+01 2.007500E+01 2.010000E+01 2.012500E+01
  2.015000E+01 2.017500E+01 2.020000E+01 2.022500E+01 2.025000E+01 2.027500E+01
  2.030000E+01 2.032500E+01 2.035000E+01 2.037500E+01 2.040000E+01 2.042500E+01
  2.045000E+01 2.047500E+01 2.050000E+01 2.052500E+01 2.055000E+01 2.057500E+01
  2.060000E+01 2.062500E+01 2.065000E+01 2.067500E+01 2.070000E+01 2.072500E+01
  2.075000E+01 2.077500E+01 2.080000E+01 2.082500E+01 2.085000E+01 2.087500E+01
  2.090000E+01 2.092500E+01 2.095000E+01 2.097500E+01 2.100000E+01 2.102500E+01
  2.105000E+01 2.107500E+01 2.110000E+01 2.112500E+01 2.115000E+01 2.117500E+01
  2.120000E+01 2.122500E+01 2.125000E+01 2.127500E+01 2.130000E+01 2.132500E+01
  2.135000E+01 2.137500E+01 2.140000E+01 2.142500E+01 2.145000E+01 2.147500E+01
  2.150000E+01 2.152500E+01 2.155000E+01 2.157500E+01 2.160000E+01 2.162500E+01
  2.165000E+01 2.167500E+01 2.170000E+01 2.172500E+01 2.175000E+01 2.177500E+01
  2.180000E+01 2.182500E+01 2.185000E+01 2.187500E+01 2.190000E+01 2.192500E+01
  2.195000E+01 2.197500E+01 2.200000E+01 2.202500E+01 2.205000E+01 2.207500E+01
  2.210000E+01 2.212500E+01 2.215000E+01 2.217500E+01 2.220000E+01 2.222500E+01
  2.225000E+01 2.227500E+01 2.229990E+01 2.232490E+01 2.234990E+01 2.237490E+01
  2.239990E+01 2.242490E+01 2.244990E+01 2.247490E+01 2.249990E+01 2.252490E+01
  2.254990E+01 2.257490E+01 2.259990E+01 2.262490E+01 2.264990E+01 2.267490E+01
  2.269990E+01 2.272490E+01 2.274990E+01 2.277490E+01 2.279990E+01 2.282490E+01
  2.284990E+01 2.287490E+01 2.289990E+01 2.292490E+01 2.294990E+01 2.297490E+01
  2.299990E+01 2.302490E+01 2.304990E+01 2.307490E+01 2.309990E+01 2.312490E+01
  2.314990E+01 2.317490E+01 2.319990E+01 2.322490E+01 2.324990E+01 2.327490E+01
  2.329990E+01 2.332490E+01 2.334990E+01 2.337490E+01 2.339990E+01 2.342490E+01
  2.344990E+01 2.347490E+01 2.349990E+01 2.352490E+01 2.354990E+01 2.357490E+01
  2.359990E+01 2.362490E+01 2.364990E+01 2.367490E+01 2.369990E+01 2.372490E+01
  2.374990E+01 2.377490E+01 2.379990E+01 2.382490E+01 2.384990E+01 2.387490E+01
  2.389990E+01 2.392490E+01 2.394990E+01 2.397490E+01 2.399990E+01 2.402490E+01
  2.404990E+01 2.407490E+01 2.409990E+01 2.412490E+01 2.414990E+01 2.417490E+01
  2.419990E+01 2.422490E+01 2.424990E+01 2.427490E+01 2.429990E+01 2.432490E+01
  2.434990E+01 2.437490E+01 2.439990E+01 2.442490E+01 2.444990E+01 2.447490E+01
  2.449990E+01 2.452490E+01 2.454990E+01 2.457490E+01 2.459990E+01 2.462490E+01
  2.464990E+01 2.467490E+01 2.469990E+01 2.472490E+01 2.474990E+01 2.477490E+01
  2.479990E+01 2.482490E+01 2.484990E+01 2.487490E+01 2.489990E+01 2.492490E+01
  2.494990E+01 2.497490E+01 2.499990E+01 2.502490E+01 2.504990E+01 2.507490E+01
  2.509990E+01 2.512490E+01 2.514990E+01 2.517490E+01 2.519990E+01 2.522490E+01
  2.524990E+01 2.527490E+01 2.529990E+01 2.532490E+01 2.534990E+01 2.537490E+01
  2.540000E+01 2.542500E+01 2.545000E+01 2.547500E+01 2.550000E+01 2.552500E+01
  2.555000E+01 2.557500E+01 2.560000E+01 2.562500E+01 2.565000E+01 2.567500E+01
  2.570000E+01 2.572500E+01 2.575000E+01 2.577500E+01 2.580000E+01 2.582500E+01
  2.585000E+01 2.587500E+01 2.590000E+01 2.592500E+01 2.595000E+01 2.597500E+01
  2.600000E+01 2.602500E+01 2.605000E+01 2.607500E+01 2.610000E+01 2.612500E+01
  2.615000E+01 2.617500E+01 2.620000E+01 2.622500E+01 2.625000E+01 2.627500E+01
  2.630000E+01 2.632500E+01 2.635000E+01 2.637500E+01 2.640000E+01 2.642500E+01
  2.645000E+01 2.647500E+01 2.650000E+01 2.652500E+01 2.655000E+01 2.657500E+01
  2.660000E+01 2.662500E+01 2.665000E+01 2.667500E+01 2.670000E+01 2.672500E+01
  2.675000E+01 2.677500E+01 2.680000E+01 2.682500E+01 2.685000E+01 2.687500E+01
  2.690000E+01 2.692500E+01 2.695000E+01 2.697500E+01 2.700000E+01
